id_municipio,uf,regiao,cluster,segmento
1100015,RO,Norte,1,0
1100023,RO,Norte,0,1
1100031,RO,Norte,0,0
1100049,RO,Norte,0,1
1100056,RO,Norte,0,1
1100064,RO,Norte,0,0
1100072,RO,Norte,1,0
1100080,RO,Norte,1,3
1100098,RO,Norte,0,0
1100106,RO,Norte,1,2
1100114,RO,Norte,0,0
1100122,RO,Norte,0,1
1100130,RO,Norte,1,3
1100148,RO,Norte,0,0
1100155,RO,Norte,0,0
1100189,RO,Norte,0,1
1100205,RO,Norte,0,1
1100254,RO,Norte,0,0
1100262,RO,Norte,0,0
1100288,RO,Norte,0,1
1100296,RO,Norte,0,0
1100304,RO,Norte,0,1
1100320,RO,Norte,1,3
1100338,RO,Norte,1,2
1100346,RO,Norte,1,0
1100379,RO,Norte,1,3
1100403,RO,Norte,1,0
1100452,RO,Norte,1,0
1100502,RO,Norte,1,0
1100601,RO,Norte,1,0
1100700,RO,Norte,1,3
1100809,RO,Norte,0,0
1100908,RO,Norte,1,0
1100924,RO,Norte,0,0
1100940,RO,Norte,1,0
1101005,RO,Norte,1,3
1101104,RO,Norte,1,0
1101203,RO,Norte,1,0
1101302,RO,Norte,1,3
1101401,RO,Norte,1,3
1101435,RO,Norte,1,3
1101450,RO,Norte,1,3
1101468,RO,Norte,0,0
1101476,RO,Norte,1,0
1101484,RO,Norte,0,0
1101492,RO,Norte,1,3
1101500,RO,Norte,1,3
1101559,RO,Norte,0,0
1101609,RO,Norte,1,3
1101708,RO,Norte,1,3
1101757,RO,Norte,1,3
1101807,RO,Norte,1,3
1200013,AC,Norte,1,2
1200054,AC,Norte,1,2
1200104,AC,Norte,1,2
1200138,AC,Norte,1,2
1200179,AC,Norte,1,2
1200203,AC,Norte,1,2
1200252,AC,Norte,1,2
1200302,AC,Norte,1,2
1200328,AC,Norte,1,2
1200336,AC,Norte,1,2
1200344,AC,Norte,1,2
1200351,AC,Norte,1,2
1200385,AC,Norte,1,3
1200393,AC,Norte,1,2
1200401,AC,Norte,0,1
1200427,AC,Norte,1,2
1200435,AC,Norte,1,2
1200450,AC,Norte,1,3
1200500,AC,Norte,1,2
1200609,AC,Norte,1,2
1200708,AC,Norte,1,2
1200807,AC,Norte,1,2
1300029,AM,Norte,1,2
