number,value,state
0,0.6537853595320791,COMPLETE
1,0.6536283663213911,COMPLETE
2,0.6573730812205452,COMPLETE
3,0.6555431310237168,COMPLETE
4,0.6574090658630023,COMPLETE
5,0.6578324779874984,COMPLETE
6,0.657801345079173,PRUNED
7,0.6576756646787496,COMPLETE
8,0.657529711891022,COMPLETE
9,0.657646046174034,PRUNED
10,0.647531455141276,PRUNED
11,0.6590110418860944,COMPLETE
12,0.658389835915498,COMPLETE
13,0.6589007255954256,COMPLETE
14,0.6584238526356204,COMPLETE
15,0.6484563777778626,PRUNED
16,0.6583466948665498,PRUNED
17,0.6595121448707856,PRUNED
18,0.6582672023475884,COMPLETE
19,0.6595527438367207,PRUNED
20,0.6533661238587333,PRUNED
21,0.658379235421535,COMPLETE
22,0.6591209009313994,COMPLETE
23,0.6585408622881447,COMPLETE
24,0.6585041466231313,COMPLETE
25,0.659607758783547,PRUNED
26,0.6583454537854269,PRUNED
27,0.6581881169401893,COMPLETE
28,0.657694147684205,PRUNED
29,0.6587682925900034,COMPLETE
30,0.6509724252957488,PRUNED
31,0.6587888017020676,COMPLETE
32,0.6584626895610856,PRUNED
33,0.6591194050098715,PRUNED
34,0.6588966276567313,PRUNED
35,0.6586853257686628,COMPLETE
36,0.6587899838253342,PRUNED
37,0.6584449297452053,COMPLETE
38,0.6563817747238689,PRUNED
39,0.6586928310767264,PRUNED
