posicao_risco,id_municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,risco_previsto,meta_alfabetizacao_2024,gap_meta_2024,gap_meta_2026,risco_de_perder_meta_2024,situacao_historico,em_treino
1,2901908,BA,Nordeste,230,0.2211745,0.16521739130434782,0.7788255,24.7,-2.582551193237304,-20.902551193237308,True,completo,True
2,2907202,BA,Nordeste,430,0.23240237,0.20930232558139536,0.7675976,19.44,3.8002362823486315,-14.84976371765137,False,completo,True
3,2902252,BA,Nordeste,61,0.24104081,0.13114754098360656,0.7589592,23.69,0.4140802001953112,-18.02591979980469,False,completo,True
4,2910503,BA,Nordeste,255,0.25187266,0.3254901960784314,0.74812734,,,-24.222734603881833,False,completo,False
5,2919900,BA,Nordeste,40,0.25752047,0.125,0.74247956,8.39,17.362046585083007,1.3720465850830088,False,completo,True
6,2917003,BA,Nordeste,247,0.257794,0.21052631578947367,0.742206,34.97,-9.190600128173827,-25.43060012817383,True,completo,True
7,2924405,BA,Nordeste,391,0.25982344,0.22506393861892582,0.74017656,31.12,-5.137656326293946,-22.327656326293948,True,completo,True
8,2902104,BA,Nordeste,331,0.26210335,0.24471299093655588,0.7378967,27.37,-1.1596652221679697,-19.089665222167966,True,completo,True
9,2924207,BA,Nordeste,132,0.26725233,0.20454545454545456,0.7327477,36.27,-9.544766921997073,-25.434766921997067,True,completo,True
10,2932457,BA,Nordeste,122,0.2673408,0.22950819672131148,0.7326592,28.46,-1.725918731689454,-19.465918731689456,True,completo,True
11,2910602,BA,Nordeste,359,0.26823968,0.2395543175487465,0.7317603,26.95,-0.12603302001953054,-18.126033020019534,True,completo,True
12,2928307,BA,Nordeste,61,0.26918107,0.22950819672131148,0.7308189,,,-14.561892013549802,False,completo,True
13,2920809,BA,Nordeste,70,0.26920974,0.18571428571428572,0.73079026,28.29,-1.3690252685546866,-19.13902526855469,True,completo,True
14,2911105,BA,Nordeste,234,0.2703216,0.28205128205128205,0.7296784,26.73,0.30216171264648395,-17.727838287353514,False,completo,True
15,2926004,BA,Nordeste,329,0.27175772,0.3525835866261398,0.7282423,32.32,-5.144228286743164,-22.05422828674316,True,completo,False
16,2930501,BA,Nordeste,487,0.2723272,0.19917864476386038,0.7276728,32.42,-5.18727867126465,-22.07727867126465,True,completo,True
17,2930204,BA,Nordeste,429,0.27621728,0.24242424242424243,0.7237827,33.62,-5.998271102905271,-22.588271102905274,True,completo,True
18,2911808,BA,Nordeste,159,0.27682218,0.22641509433962265,0.7231778,29.89,-2.2077814483642584,-19.65778144836426,True,completo,True
19,2930105,BA,Nordeste,487,0.2772065,0.2402464065708419,0.72279346,27.01,0.7106516265869125,-17.279348373413086,False,completo,False
20,2915403,BA,Nordeste,59,0.27732408,0.15254237288135594,0.7226759,27.27,0.46240852355957074,-17.47759147644043,False,completo,True
21,2911006,BA,Nordeste,78,0.27858853,0.41025641025641024,0.72141147,21.74,6.118852386474611,-12.471147613525389,False,completo,False
22,2916302,BA,Nordeste,64,0.2786745,0.234375,0.7213255,21.57,6.297450714111328,-12.302549285888674,False,completo,True
23,2928000,BA,Nordeste,199,0.27905262,0.2914572864321608,0.7209474,32.3,-4.394738006591794,-21.314738006591796,True,completo,True
24,2921500,BA,Nordeste,251,0.27952486,0.2749003984063745,0.72047514,37.95,-9.997513961791995,-25.397513961791994,True,completo,True
25,4301750,RS,Sul,25,0.28019154,0.04,0.71980846,,,4.3691535949707045,False,completo,True
