feature,gain,posicao_gain,posicao_shap,diferenca_posicao
hist_proficiencia_media,0.17104045,1,1,0
hist_taxa_alfabetizacao,0.07026527,2,2,0
uf_RS,0.057779126,3,4,1
uf_MG,0.056496054,4,6,2
meta_alfabetizacao_2026,0.050745495,5,5,0
uf_BA,0.033362813,6,7,1
regiao_Sudeste,0.030860063,7,10,3
regiao_Sul,0.02939471,8,23,15
rede_3,0.027610257,9,8,1
regiao_Norte,0.021552183,10,34,24
meta_alfabetizacao_2024,0.019654429,11,14,3
uf_CE,0.016911864,12,32,20
hist_taxa_participacao,0.01684226,13,3,10
rede_2,0.016771954,14,9,5
regiao_Centro-Oeste,0.014995331,15,24,9
censo_prop_internet,0.014333554,16,15,1
gap_meta_2024,0.014183775,17,12,5
uf_RJ,0.01241457,18,86,68
uf_GO,0.01222434,19,13,6
taxa_agua_esgoto_inadequados,0.011452404,20,11,9
uf_RO,0.010970266,21,81,60
regiao_Nordeste,0.0095231645,22,70,48
uf_SP,0.009160514,23,74,51
uf_AM,0.008103085,24,75,51
uf_MA,0.0080626635,25,71,46
censo_prop_quadra,0.0077984873,26,16,10
censo_n_escolas,0.0077701733,27,19,8
uf_PB,0.007361309,28,67,39
uf_SE,0.0064636203,29,72,43
uf_RN,0.0061243568,30,41,11
hist_n_escolas,0.006039713,31,37,6
censo_prop_agua_potavel,0.0059546507,32,54,22
uf_PR,0.0059102955,33,79,46
historico_do_gold,0.0057606082,34,73,39
censo_prop_rampas,0.0054740314,35,20,15
uf_MS,0.005384221,36,76,40
uf_AP,0.005223493,37,84,47
uf_SC,0.0049262284,38,83,45
censo_turmas_anos_iniciais,0.004840833,39,31,8
taxa_coleta_lixo,0.004829658,40,26,14
censo_matriculas_anos_iniciais,0.0047250576,41,48,7
hist_n_avaliados,0.004704904,42,44,2
prop_populacao_urbana,0.0046594855,43,25,18
censo_docentes_anos_iniciais,0.004488625,44,45,1
censo_prop_alimentacao,0.0044810823,45,56,11
prop_pobreza,0.0044493433,46,58,12
censo_prop_banheiro_pne,0.00441278,47,52,5
censo_prop_energia_publica,0.0043742834,48,65,17
censo_prop_esgoto_publico,0.00425903,49,51,2
hist_desvio_entre_escolas,0.0042447634,50,27,23
uf_ES,0.0042313593,51,62,11
uf_PI,0.0041039996,52,85,33
censo_media_salas,0.0040896456,53,57,4
uf_MT,0.004000937,54,77,23
censo_prop_lab_informatica,0.00395714,55,47,8
taxa_analfabetismo_25_mais,0.0039327866,56,50,6
expectativa_anos_estudo,0.0038088728,57,21,36
censo_prop_biblioteca,0.0037932263,58,36,22
prop_pobreza_criancas,0.0037658128,59,39,20
taxa_criancas_fora_escola_6_14,0.003673282,60,17,43
uf_TO,0.00362948,61,68,7
uf_PE,0.0035899165,62,78,16
uf_PA,0.0035682165,63,80,17
censo_alunos_por_docente,0.0035297966,64,40,24
populacao,0.0035016357,65,69,4
taxa_energia_eletrica,0.0034969966,66,18,48
part_va_servicos,0.003435084,67,29,38
taxa_mulheres_com_filho_10_14,0.0034219197,68,22,46
renda_pc,0.0034207196,69,61,8
part_va_agropecuaria,0.0033893283,70,33,37
idhm_r,0.0033521426,71,53,18
censo_prop_banda_larga,0.003180306,72,64,8
taxa_analfabetismo_15_mais,0.0031431937,73,46,27
censo_alunos_por_turma,0.0030465813,74,59,15
part_va_industria,0.003031008,75,49,26
pib_per_capita,0.0028486256,76,38,38
idhm_l,0.0028322341,77,30,47
idhm_e,0.002791763,78,35,43
idhm,0.0027540459,79,55,24
indice_gini,0.0027510657,80,60,20
taxa_criancas_dom_sem_fund,0.0026095815,81,63,18
uf_AL,0.0025282106,82,82,0
censo_prop_rural,0.002520252,83,28,55
censo_prop_sala_leitura,0.0023585851,84,42,42
taxa_agua_encanada,0.0023528896,85,43,42
taxa_freq_liquida_fundamental,0.0021541454,86,66,20
uf_AC,0.002033605,87,87,0
rede_4,0.0,88,88,0
uf_DF,0.0,89,89,0
sem_historico_municipal,0.0,90,90,0
